term,definition
degeneratio,elfajulás
degeneratio cancerosa,rákképzés
degeneratio maculae,makula-degeneráció
"degenerere, deterere ,depravare",degenerálódik
deglutitio,nyelés
dehaustratio,nem öblösödik ki
dehelminthisatio,féregtelenítés
dehiscentio vulneris,seb felnyílása
dehistentia,sebszétnyílás
dehydratatio,kiszáradás
delirium,lázálom
deltoideus,delta alakú
dementia,"elbutulás, demencia"
demulcens,bevonószer
demyelinatio,elvelőtlenedés
demyelinisatio,elvelőtlenedés
dendrit,idegsejtnyúlvány
dendriticus,elágazódó
denervatio,elidegtelenedés
denitrificatio,nitrátmentesítés
dens,fog
dens axis,fognyúlvány
dens bicuspidalis,bikuszpidális
dens caninus,szemfog
dens deciduus,tejfogak
dens incisivus,metszőfog
dens lacteus,tejfogak
dens masticatorius,rágófog
dens molaris,zápfog
dens molaris tertius,bölcsességfog
dens non eruptus,nemkibújt fogak
dens praemolaris,kisőrlő
Dens praemolaris,Kisörlő
Dens sapiens,Bölcsességfog
dens sapientiae,bölcsességfog
"Dens, dentis",fog
densitas,sűrüség
Dent-,Fog
Dentalgia,fogfájás
dentalis,fogászati
dentatura acuta,éles szélű fogazat
dentatus,"fogas, fogazott"
dentes,fogak
dentes canini,szemfogak
dentes decidui,tejfogak
Dentes decidui,Időleges fogak
dentes incisivi,metszőfogak
dentes molares,nagyörlő fogak
dentes permanentes,maradandó fogak
dentes premolares,kisörlő fogak
denticulatus,kis fogakat tartalmazó
denticulus,kis fog
dentinum,dentin
dentitio,"fogelőtörés, fogzás"
dentitio permanens,maradandó fogak
denudatio,lecsupaszítás
dependencia,függőség
dependens,függő
depilare,szőrtelenít
deposita dentalia,foglerakódások
depressivus,"depressziós, nyomott"
depressor,lehúzó
Depressor,Gátló
Depuratio,Fogkőeltávolítás
Der-,Nyak
derivatum acidi salicylici,szalicilsav-származék
Derm-,Bőr
dérma,bőr
dermatitis,a bőr gyulladásos megbetegedése
Dermatitis contusiforme,Erythema nodosum
dermatitis solaris,leégés
dermato-,bőr-
dermatobiopsia,bőrbiopszia
dermatofibroma,apró csomók a bőrön
dermatoma,bőrszelvény
dermatomyositis,bőr és izmok gyulladása
dermatopathia,bőrbaj
Dermatophagoides farinae,poratka
dermatosis,bőrbaj
dermis,bőr
dermoid,bőrformájú
dermoid cysta,"jóindulatú tumor, amelyben szőrtüszők, haj és faggyúmirigyek találhatóak"
descendens,leszálló
descriptivus,leíró
desinfectio,fertőtlenítés
desinficiens,fertőtlenítőszer
desis,kötés
desmalis,kötőszövethez tartozó
desmoid,ínra hasonlító
desmoplasticus,dezmoplasztikus
desmorrhexis,szalagszakadás
desorientatio,"térbeli eligazodászavar, tudatzavar"
desquamare,lepereg
desquamatio,bőrhámlás
destillatus,desztilált
destructio,"roncsolódás, tönkremenés"
desynchronisatio,egyidejűség felbomlása
deterioratio,állapot romlása
determinatio,meghatározottság
detoxicatio,méregtelenítés
detritus,"szétesett szövet, szövetek maradványa"
detrusor,kilökő
detumescentia,lohadás
deuteranop,zöldvak
deuteranopia,zöldszín-tévesztés
deviatio,a normálistól eltérő
deviatio septi nasi,orrsövényferdülés
Devitalisatio,Elhalasztás
Dextr-,Jobb
dextrocardia,"a szív nem a normális bal oldalon helyezkedik el, hanem mintegy tükörképben, a jobb oldalon"
dextropositio,jobboldali
diabetes,cukorbetegség
diabetes mellitus,cukorbetegség
diabeticus,diabetikus
diadochokinesis,egymással ellentétes mozgások
diagnosis,"diagnózis, kórisme"
diagnostica,diagnosztika
diagonalis,átlós
dialízis,"veseelégtelenség során a vérből mesterségesen kell eltávolítani a salakanyagokat, ez a folyamat a dialízis"
diameter,átmérő
diaphoresis,izzadás
diaphragma,rekeszizom
diaphragma oris,szájfeneket lezáró izom
diaphragma pelvis,medencealap
diaphragma urogenitale,gát
diaphragmatic surface,rekeszi felszín
diaphysis,csöves csontok középső része
diarrhoe,hasmenés
diarthrosis,szabad mozgást biztosító ízület
diastole,"a szív mozgásának azon fázisa, amikor a kamrák elernyednek és vérrel telítődnek fel"
diathermicus,átmelegedett
diathesis,hajlam
Diazepamum,szorongásoldó hatóanyaga
Dicbus alternis,minden második nap
dichotomia,két ágra oszlás
dichromasia,színtévesztés
diencephalon,köztiagy
dies,nap
differenciatus,differenciált
differentiatio,differenciálódás
difficilis,nehéz
diffusus,diffúz
digestio,emésztés
digitalinum depuratum,tisztított digitalin
digitalis,ujjal kapcsolatos
digitatus,ujj alakú
digiti,ujjak
digiti manus,kéz ujjai
digiti pedis,lábujjak
digitorum,digitórum
digitorum,ujjakkal kapcsolatos
digitus,ujj
digitus anularis,gyűrűsujj
digitus index,mutatóujj
digitus manus,kézujj
digitus medius,középső ujj
digitus minimus,kisujj
digitus pedis,lábujj
diktyosoma,Golgi-mező
dilatatio,kitágítás
dilatatio bronchi,légcsőtágulás
dilutus,híg
diminutio dosis,adag-csökkenés
diphtericus,torokgyíkos
diphtheria,"Diftéria (diphtheria), torokgyík"
diplegia,kétoldali bénulás
diplegia spastica infantilis,Little-kór
diploid,"kettős, teljes kromoszómakészlettel rendelkező"
diplopia,kettős látás
dis-,szét
discisio,szétmetszés
discopathia,csigolyaközi porckorong megbetegedés
discrepantia,aránytalanság
discus,porckorong
discus intervertebralis,csigolyákközti porckorong
discus nervi optici,látóidegfő
Disectio,"Elválasztás, szétválasztás"
disinhibitio,gátlás
dislocatio,elmozdulás
dislocatio,ficam
disruptio,megszakítás
dissecans,széthasított
disseminare,elterjeszt
disseminatio,szétszórás
disseminatus,szétszórt
dissimilatio,bontó anyagcsere
dissimilis,különböző
distalis,távolabbi (a test középpontjától)
distantia,"távolság, köz"
distomiasis haematica,vérmételykór
distorsio,"csavarodás, elferdülés, eltorzulás, rándulás"
distorsio brachii,karrándulás
distorsio pedis,lábrándulás
distractio,figyelemelvonás
diszfágia,nyelési nehezítettség
diszlokáció,elmozdulás
diszmenorrhoe,fájdalmas menstruáció
diszpnoe,légszomj
diu,"hosszan, hosszú"
diuresis,vizeletkiválasztás
diureticum,vízhajtó
divergatio,széttérés
divergens,széttartó
diverticulosis,"a vastagbél nyálkahártyájának kiboltosulása, kiöblösödése"
diverticulum,a gyomor-bélcső zsákszerű kiöblösödését jelenti
Diverticulum ilei,Meckel-gurdély
divertikulitis,pangó székletmaradék miatti bélgyulladás
DM,cukorbetegség
dolichocolon,vastagbél-meghosszabbodás
Dolor,fájdalom
"dolor ventriculi, gastralgia",gyomorfájás
dolorosus,fájdalmas
domesticus,házi
Dors-,Hát
dorsalgia,hátfájdalom
dorsalis,háti oldali
dorsi-,háttal kapcsolatos
dorsiflexio,hátradőlés
dorsolateralis,hátulsó és oldalsó
dorsoventralis,nyílirányú
dorsum,hát
dorsum flexum,görbe hát
dorsum linguae,nyelvhát
dorsum nasi,orrhát
dorsum pedis,lábhát
dosis,adag
dosis initialis,feltöltő adag
doxasma,téveseszme
Duct-,Vezetés
ductalis,csővel kapcsolatos
ductuli efferentes testis,elvezető herecsatornácskák
ductulus,csatornácska
Ductus,Vezeték
ductus alveolaris,tüdőhólyagvezeték hörgőfa
ductus arteriosus,Botallo vezeték
ductus arteriosus,ductus arteriosus
ductus arteriosus patens,Nyitott ductus arteriosus
ductus biliares,epevezetékek
ductus biliares extrahepaticae,májon kívüli epevezetékek
ductus biliaris,közös epevezeték
ductus biliferi,epeutak
ductus choledochus,epevezeték
ductus choledochus,közös epevezeték
ductus cysticus,epehólyag kivezetőcsöve
ductus deferens,ondóvezeték
ductus ejaculatorius,ondó kilövelő csatorna
ductus epididymidis,mellékhere csatornája
ductus excretorius,ondóhólyag kivezetőcsöve
ductus hepaticus,máj epevezetéke
ductus hepato choledochus,epevezeték
ductus lacrimalis,könnycsatorna
ductus lactifer,tejút
ductus lactiferus,tejmirigy kivezetőcsőve
ductus lymphaticus,nyirokelvezeték
ductus nasolacrimalis,orr-könnycsatorna
ductus pancreatici,hasnyálmirigy vezetékei
ductus pancreaticus,Wirsung-vezeték
ductus pancreaticus major,hasnyálmirigy fő kivezetőcsöve
ductus papillaris,bimbócsatorna
ductus salivarii,nyálcsatornák
Ductus salivaris,Nyálvezeték
ductus semicirculares,hártyás ívjáratok
ductus thoracicus,mellűri nyirokvezeték
duodenalis,nyombéllel kapcsolatos
duplicata,kettőzött
Dur-,Kemény
dura mater,kemény agyhártya
dura mater spinalis,kemény agyhártya
durus,kemény
Dyaphysis,Csövescsontok középső része
dynia,fájdalom
dys-,"Hibás, eltérő"
dysbasia,járászavar
dyschondroplasia,Ollier betegség
dysenteria,vérhas
dysfunctio,működési zavar
dysfunctiones mentales,elmezavarok
dysgenesis,Egy bizonyos szerv hibás vagy abnormális kifejlődése
dysgeusia,"1. ízek elváltozásának az érzete., 2. kellemetlen szájíz"
dyskinesis,akaratlan mozgásos betegség
dyslexia,olvasási nehézség
dysmenorrhoea,fájdalmas menstruáció
dysopia,látászavar
dysosmia,szaglászavar
dyspareunia,fájdalmas közösülés
dyspepsia,"emésztési zavar,  felhasi diszkomfortérzés"
dysphagia,nyelési nehézség
"dysphemia, balbutismus",dadogás
dysphoria,diszfória
dysplasia,diszplázia
dyspnoe,"légszomj, légzéselégtelenség, légzési nehézség"
dystelectasia,foltos atelectasia
dystonia,izomtónus rendellenesség
dystopia,abnormális elhelyezkedés
dystrophia,"táplálkozási rendellenesség, szövet rendellenes táplálása"
dystrophia,szövet rendellenes táplálása
dysuria,fájdalmas vizelés
"ebrietas, inebriatio",ittasság
ecchymosis,bőr bevérzés folt
ecchymosis,zúzódás
echo,viszhang
echocardiographia transoesophagealis,transz-özofageális echokardiográfia
echolalia,echolália
eclampsia,rángógörcs
eclampsia febrilis,lázgörcs
ectasia,tágulat
Ecto-,Kívül
ectoderma,külső csíralemez
ectomia,műtéti eltávolítás
ectopia,rossz elhelyezkedésű
ectropium palpebrae,szemhéjkifordulás
eczema,ekcéma
edentulus,fogatlan
educatio,oktatás
edulis,ehető
effektor,végrehajtó készülék
efferens,elvezető
effervescens,habzó
effusio subcutanea,bőralatti folyadékgyülem
ego,saját személyiség
ejaculare,ondót kilövell
ejaculatio,ejakuláció
Ejaculatorius,(ondó)kilövelő
EKG,"elektrokardiográfia, a szív elektromos tevékenységét vizsgáló eljárás"
"ekzema functionalis, -occupationalis, -professionalis",foglalkozási ekcéma
elasticus,rugalmas
electrocardiogramma,elektrokardiogram
electrocardiographia,EKG
electrocutio,villanyáramütés
electromyographia,elektromiográfia
electrophysiologicus,elektrofiziológiás
electuarium lenitivum,hashajtó nyalat
elevator,emelő
eliminatio,ürítés
ellipticus,ellipszis alakú
elongatio,megnyúlás
elongatio colli,a nyak megnyúlása
elytro-,hüvely-
embolia pulmonis,Tüdőembólia
Embolus,"elzáró vérrög, véráramba tovasodródó, beékelődött anyag"
embrió,a magzat elnevezése a fogamzástól a nyolcadik hétig
embryologia,fejlődéstan
emesis,hányás
emia,vérállapot
eminentia,"kiemelkedés, buborék, hólyag"
eminéntia,linea terminalis keresztcsonti része
emoll.cer.,agylágyulás
emolliens,bőrpuhító
emollitio cerebri,agylágyulás
Emphysema,"Kóros levegőgyülem szövetben, szervben, tüdőtágulás"
emplastrum ad rupturas,sérvellenes tapasz
emplastrum diachylon compositum,összetett diachylontapasz
emplastrum diachylon simplex,egyszerű diachylontapasz
empyema,gennygyülem
enamelum,fogzománc
"Enamelum, substantia adamantina",Zománc
enanthema,nyálkahártyakiütés
Encephal-,Agyvelő
encephalitis,agyvelőgyulladás
encephalitis lethargica,álomkór
encephalo-,agyvelő-
encephalocele,Agyvelősérv (encephalocele)
encephalokele,agyvelősérv
encephalolith,agykő
encephalon,agyvelő
encephalopathia,agyvelőbántalom
encephalopathia vascularis,érbetegség okozta agybetegség
encopresis,széklettartási elégtelenség
endarteritis,érbelhártyagyulladás
endo,belső
endocarditis,szívbelhártyagyulladás
endocarditis,szívbelhártya-gyulladás
endocardium,szívbelhártya
endocervicalis,nyakon belüli
endocervix,a méhnyak belseje
endocrin,belső elválasztásu
endocrinologia,endokrinológia
endocrinus,belső elválasztású
endocytosis,bekebelezés
endoderma,belső csíralemez
endodontitis,fogbélgyulladás
endogen,belső eredetű
endometriosis,endometriózis (nőgyógyászati betegség)
endometrium,méhnyálkahártya
endomitosis,kromoszóma replikáció
endomysium,izomrostok burka
endonasalis,orron belül
endoneurium,idegburok
endoneurium,idegszál burka
endonucleasum,endonukleáz
endorphinum,endorfin
endoscopia,endoszkópos kivizsgálás
endosteum,csont belhártya
endoszkóp,"vékony, hajlékony üvegszálas eszköz, melynek segítségével az üreges szervek belsejéből kaphatunk képet"
endothelium,érbelhártya
endotoxicus,belső méreganyagot (endotoxint) tartalmazó
endtohelium vasculare,érbelhártya
enema,beöntés
enophthalmus,szembesüllyedés
ensis,kard
entera,belek
enteritis,bélgyulladás
enterosolvens,bélben oldódó
enuresis,bevizelés
enuresis nocturna,éjjeli ágybavizelés
enzimopathia,enzimhiányos betegség
ependyma,agykamra falát borító szövet
ephelis,szeplő
Epi-,Felül
epicardium,szívburok zsigeri lemeze
epicondylitis,csontbütyöknyúlvány-gyulladás
epicondylitis humeri lateralis,teniszkönyök
epicondylitis humeri medialis,golfkönyök
epicondylus,csontbütyöknyúlvány
epicondylus lateralis,külső könyökdudor
epicondylus medialis,belső könyökdudor
epicranium,koponyabőr
epicrisis,rövid kórtörténet
epidemia,járvány
epidemia diphtherica,diftéria-járvány
epidemicus,járvány
epidemiologia,járványtan
epidermalis,epidermális
epidermisz,a bőr külső rétege
epididymis,mellékhere
epididymitis,mellékhere gyulladás
epiduralis,kemény agyhártya feletti
epigastrium,gyomor feletti rész
epiglotticus,gégefedőhöz tartozó
epiglottidectomia,gégefedő műtéti eltávolítása
epiglottis,gégefedő
epiglottitis,gégefedő-gyulladás
epilepsia partialis continua,Speciális epilepsziás szindrómák
epiphysis,csöves csont ízületi vége
epiphysis cerebri,tobozmirigy
episio-,szeméremtest
episiotomia,gátmetszés
epistaxis,orrvérzés
epistropheus,forgócsigolya
epistropheus,második nyaki csigolya
epithelioma,laphámdaganat
epithelium,hámszövet
Epithesis /prothesis,Testhiány pótlás
erectilis,merevedő
erethicus,ingerlékeny
ergotismus,ergotamin mérgezés
erogenus,erogén
erosio,hámhiány
erosio dentium,fogkimaródás
erosio ventriculi,gyomorfelmaródás
eructatio,böfögés
eruptio dentis,fogáttörés
erysipelas,Orbánc (erysipelas)
erythema,bőrpír
erythema infectiosum,ragályos vírusfertőzés
erythro-,vörös-
erythrocyta,vörösvértest
erythrocyti,vörösvérsejtek
erythrocyti abnormales,rendellenes vörösvérsejtek
erythrocytosis,kóros vörösvérsejt-termelődés
erythrocytus,vörösvérsejt
erythropoesis,vörösvértestek fejlődése
erythrosis,bőrkipirosodás
esophagus,nyelőcső
ethmoidalis,szitaszerű
eucalyptus,eukalyptus
eudiadochokinesis,normális diadochokinesis
eunuch,herélt férfi
eunuchoid,eunuchhoz hasonló alkat
eupnoe,normális légzés
eutrophia,normális táplálás
evaporatio,párolgás
evolutio,fejlődés
evulsio,kiszakítás
exacerbatio,"fellángolás, súlyosbodás (betegségnek)"
exacte,pontosan
exactissime,nagyon pontosan
examinatio functionis renis,veseműködés kivizsgálása
examinatio laboratorica,laboratóriumi vizsgálat
examinatio microscopica,mikroszkópos vizsgálat
exanthema,kiütés
exanthema cutis,bőrkiütés
excentricus,excentrikus
excisio,kimetszés
excitatio,izgatottság
excitatus,ingerült
exclusio,kizárás
excoriatio,"kisebesedés, horzsolt seb, a bőrnek vakaródzás miatt kialakult sebes, varral fedett elváltozása"
excretio,kiválasztás
excretio salivae,nyálelválasztás
excretorius,kiválasztásra szolgáló
exfoliatio areata lingua,térképnyelv
exfoliativus,hámló
exhaustio,kimerülés
exhumatio,eltemetett holttest kiásása
exitus letalis,halálos kimenetel
exo-,kivülálló
exocrinus,külső elválasztású
exsiccatio,kiszáradás
exspiratio,kilégzés
externus,Külső
extra-,"ecto-, exo-"
Extractio,Fogeltávolítás
extrasystolia,extraszisztolé
extrauterin,méhen kívüli
extravasatio,vérkiszivárgás
extravascularis,éren kívüli
extrémitas,"szélsőség, véglet"
Extremitas atis,végtag
extremitas inferior,alsó végtag
extremitas superior,felső végtag
extremitates,végtagok
extremus,"leghátsó, utolsó"
extrinsecus,külső
"extroversio, eversio",kifelé fordulás
Exulceratio linguae,Nyelvfekélyesedés
faccies convexa cerebri,agyfélteke domború felszíne
facialis,arccal kapcsolatos
facies,arc
facies articularis,ízfelszín
facies inferior cerebri,agyfélteke agyalapi felszíne
facies medialis cerebri,agyfélteke medialis felszíne
facies visceralis,zsigeri felszín
facile,"fény, könnyedén"
facticius,mesterséges
factori biologici,biológiai tényezők
factum,tény
faecalis,széklettel kapcsolatos
faeces,"bélsár, széklet"
fagocyticus,fagocita
falciformis,sarló alakú
falsus,hamis
falx,sarló
falx cerebelli,kisagysarló
falx cerebri,nagyagysarló
farinae,lisztel kapcsolatos
fascia,"izompólya, ínszalag, tartószalag"
Fascia renalis,Gerota-fascia
fascia renalis,külső tok
fascica lata,széles combpólya
fasciculus,köteg
fasciculus atrioventricularis,His köteg
fasciculus atrioventricularis,pitvar-kamrai köteg
fasciculus cuneatus,Burdach-pálya
fasciculus gracilis,Goll-pálya
fatalis,végzetes
fauces,torok
febrilis,lázas
febris flava,Sárgaláz (febris flava)
febris Marburg,Marburg-láz
febris recurrens,visszatérő láz
fecalith,székletkő
fecundatio,megtermékenyítés
fellatio,hímvessző szájba vétele
felleus,epéhez tartozó
